,DBN,school_name,school_category,district_code,female,male,total_students_with_two_or_more_removals_suspensions
0,01M015,P.S. 015 Roberto Clemente,elementary,1,3,3,3
1,01M019,P.S. 019 Asher Levy,elementary,1,3,3,3
2,01M020,P.S. 020 Anna Silver,elementary,1,3,3,3
3,01M034,P.S. 034 Franklin D. Roosevelt,k-8,1,8,6,14
4,01M063,The STAR Academy - P.S.63,elementary,1,3,3,6
5,01M064,P.S. 064 Robert Simon,elementary,1,3,3,3
6,01M110,P.S. 110 Florence Nightingale,elementary,1,3,3,3
7,01M134,P.S. 134 Henrietta Szold,elementary,1,3,3,3
8,01M137,P.S. 137 John L. Bernstein,elementary,1,3,3,3
9,01M140,P.S. 140 Nathan Straus,k-8,1,3,3,3
10,01M142,P.S. 142 Amalia Castro,elementary,1,3,3,3
11,01M184,P.S. 184m Shuang Wen,k-8,1,3,3,3
12,01M188,P.S. 188 The Island School,k-8,1,3,3,10
13,01M292,Henry Street School for International Studies,secondary school,1,3,3,3
14,01M301,"Technology, Arts, and Sciences Studio",junior high-intermediate-middle,1,3,3,3
15,01M315,The East Village Community School,elementary,1,3,3,3
16,01M332,University Neighborhood Middle School,junior high-intermediate-middle,1,3,3,3
17,01M345,"Collaborative Academy of Science, Technology, & La",junior high-intermediate-middle,1,3,3,11
18,01M361,The Children's Workshop School,elementary,1,3,3,3
19,01M363,Neighborhood School,elementary,1,3,3,3
20,01M364,Earth School,elementary,1,3,3,3
21,01M378,School for Global Leaders,junior high-intermediate-middle,1,3,3,3
22,01M444,Home Schooling,central-hq-citywide,1,3,3,3
23,01M448,University Neighborhood High School,high school,1,3,3,3
24,01M450,East Side Community School,secondary school,1,3,3,3
25,01M458,Forsyth Satellite Academy,high school,1,3,3,3
26,01M509,Marta Valle High School,high school,1,3,3,12
27,01M515,Lower East Side Preparatory High School,high school,1,3,3,3
28,01M539,"New Explorations into Science, Technology and Math",k-12 all grades,1,3,3,3
29,01M650,Cascades High School,high school,1,3,3,3
30,01M696,Bard High School Early College,high school,1,3,3,3
31,01M839,Tompkins Square Middle School,junior high-intermediate-middle,1,3,3,3
32,02M001,P.S. 001 Alfred E. Smith,elementary,2,3,3,3
33,02M002,P.S. 002 Meyer London,elementary,2,3,3,3
34,02M003,P.S. 003 Charrette School,elementary,2,3,3,3
35,02M006,P.S. 006 Lillie D. Blake,elementary,2,3,3,3
36,02M011,P.S. 011 William T. Harris,elementary,2,3,3,3
37,02M033,P.S. 033 Chelsea Prep,elementary,2,3,3,3
38,02M040,P.S. 040 Augustus Saint-Gaudens,elementary,2,3,3,3
39,02M041,P.S. 041 Greenwich Village,elementary,2,3,3,3
40,02M042,P.S. 042 Benjamin Altman,elementary,2,3,3,3
41,02M047,47 The American Sign Language and English Secondar,high school,2,3,3,3
42,02M051,P.S. 051 Elias Howe,elementary,2,3,3,3
43,02M059,P.S. 059 Beekman Hill International,elementary,2,3,3,3
44,02M077,P.S. 77 Lower Lab School,elementary,2,3,3,3
45,02M089,P.S. 89,elementary,2,3,3,3
46,02M104,J.H.S. 104 Simon Baruch,junior high-intermediate-middle,2,3,3,15
47,02M111,P.S. 111 Adolph S. Ochs,elementary,2,3,3,3
48,02M114,East Side Middle School,junior high-intermediate-middle,2,3,3,3
49,02M116,P.S. 116 Mary Lindley Murray,elementary,2,3,3,3
50,02M124,P.S. 124 Yung Wing,elementary,2,3,3,3
51,02M126,P.S. 126 Jacob August Riis,k-8,2,3,3,3
52,02M130,P.S. 130 Hernando De Soto,elementary,2,3,3,3
53,02M131,M.S. 131,junior high-intermediate-middle,2,3,3,6
54,02M135,The Urban Assembly School for Emergency Management,high school,2,7,6,13
55,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,high school,2,3,3,11
56,02M150,P.S. 150,elementary,2,3,3,3
57,02M151,Yorkville Community School,elementary,2,3,3,3
58,02M158,P.S. 158 Bayard Taylor,elementary,2,3,3,3
59,02M167,J.H.S. 167 Robert F. Wagner,junior high-intermediate-middle,2,3,3,7
60,02M177,Yorkville East Middle School,junior high-intermediate-middle,2,3,3,3
61,02M183,P.S. 183 Robert L. Stevenson,elementary,2,3,3,3
62,02M198,P.S. 198 Isador E. Ida Straus,elementary,2,3,3,3
63,02M212,P.S. 212 Midtown West,elementary,2,3,3,3
64,02M217,P.S./I.S. 217 Roosevelt Island,k-8,2,3,3,8
65,02M225,Ella Baker School,k-8,2,3,3,3
66,02M234,P.S. 234 Independence School,elementary,2,3,3,3
67,02M255,M.S. 255 Salk School of Science,junior high-intermediate-middle,2,3,3,3
68,02M260,M.S. 260 Clinton School Writers & Artists,secondary school,2,3,3,3
69,02M267,"East Side Elementary School, PS 267",elementary,2,3,3,3
70,02M276,Battery Park City School,k-8,2,3,3,6
71,02M280,Manhattan Early College School for Advertising,high school,2,3,3,3
72,02M281,The River School,elementary,2,3,3,3
73,02M282,Urban Assembly Maker Academy,high school,2,3,3,14
74,02M288,Food and Finance High School,high school,2,3,3,11
75,02M289,I.S. 289,junior high-intermediate-middle,2,3,3,3
76,02M290,P.S. 290 Manhattan New School,elementary,2,3,3,3
77,02M294,Essex Street Academy,high school,2,3,3,3
78,02M296,High School of Hospitality Management,high school,2,3,3,14
79,02M298,Pace High School,high school,2,3,3,3
80,02M300,"Urban Assembly School of Design and Construction,",high school,2,3,3,3
81,02M303,"Facing History School, The",high school,2,3,3,3
82,02M305,"Urban Assembly Academy of Government and Law, The",high school,2,16,11,27
83,02M308,Lower Manhattan Arts Academy,high school,2,3,3,8
84,02M312,New York City Lab Middle School for Collaborative,junior high-intermediate-middle,2,3,3,3
85,02M313,"James Baldwin School, The: A School for Expedition",high school,2,3,3,3
86,02M316,"Urban Assembly School of Business for Young Women,",high school,2,3,3,12
87,02M340,Sixth Avenue Elementary School,elementary,2,3,3,3
88,02M343,The Peck Slip School,elementary,2,3,3,3
89,02M347,The 47 American Sign Language & English Lower Scho,k-8,2,3,3,3
90,02M374,Gramercy Arts High School,high school,2,3,3,13
91,02M376,NYC iSchool,high school,2,3,3,3
92,02M391,District 2 Pre-K Center,district pre-k center,2,3,3,3
93,02M392,MANHATTAN BUSINESS ACADEMY,high school,2,3,3,30
94,02M393,Business Of Sports School,high school,2,3,3,14
95,02M394,Emma Lazarus High School,high school,2,3,3,3
96,02M397,Spruce Street School,k-8,2,3,3,3
97,02M399,The High School For Language And Diplomacy,high school,2,3,3,3
98,02M400,High School for Environmental Studies,high school,2,3,3,12
99,02M407,Institute for Collaborative Education,secondary school,2,3,3,3
100,02M408,Professional Performing Arts High School,secondary school,2,3,3,3
101,02M411,Baruch College Campus High School,high school,2,3,3,3
102,02M412,N.Y.C. Lab School for Collaborative Studies,high school,2,3,3,3
103,02M413,School of the Future High School,secondary school,2,3,3,3
104,02M414,N.Y.C. Museum School,high school,2,3,3,3
105,02M416,Eleanor Roosevelt High School,high school,2,3,3,3
106,02M418,Millennium High School,high school,2,3,3,3
107,02M419,Landmark High School,high school,2,3,3,3
108,02M420,High School for Health Professions and Human Servi,high school,2,3,3,10
109,02M422,Quest to Learn,secondary school,2,3,3,16
110,02M425,Leadership and Public Service High School,high school,2,3,3,8
111,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,high school,2,3,3,3
112,02M432,Murray Hill Academy,high school,2,3,3,15
113,02M437,Hudson High School of Learning Technologies,high school,2,3,3,31
114,02M438,International High School at Union Square,high school,2,3,3,3
115,02M439,Manhattan Village Academy,high school,2,3,3,6
116,02M442,"Ballet Tech, NYC Public School for Dance",k-8,2,3,3,3
117,02M444,Home Schooling,central-hq-citywide,2,3,3,3
118,02M449,Vanguard High School,high school,2,3,3,3
119,02M459,Manhattan International High School,high school,2,3,3,3
120,02M473,Washington Irving Yabc,high school,2,3,3,3
121,02M475,Stuyvesant High School,high school,2,3,3,3
122,02M489,High School of Economics and Finance,high school,2,3,3,3
123,02M500,Unity Center for Urban Technologies,high school,2,3,3,3
124,02M507,Urban Assembly Gateway School for Technology,high school,2,3,3,3
125,02M519,Talent Unlimited High School,high school,2,3,3,3
126,02M520,Murry Bergtraum High School for Business Careers,high school,2,3,3,3
127,02M527,P.S. 527 - East Side School for Social Action,elementary,2,3,3,3
128,02M529,Jacqueline Kennedy Onassis High School,high school,2,13,29,42
129,02M531,Repertory Company High School for Theatre Arts,high school,2,3,3,3
130,02M533,Union Square Academy for Health Sciences,high school,2,3,3,3
131,02M534,Harvest Collegiate High School,high school,2,3,3,9
132,02M542,Manhattan Bridges High School,high school,2,3,3,3
133,02M543,New Design High School,high school,2,3,3,7
134,02M544,Independence High School,high school,2,3,3,3
135,02M545,High School for Dual Language and Asian Studies,high school,2,3,3,3
136,02M546,Academy for Software Engineering,high school,2,3,3,3
137,02M550,Liberty High School Academy for Newcomers,high school,2,3,3,3
138,02M551,Urban Assembly New York Harbor School,high school,2,3,3,9
139,02M560,High School M560 - City As School,high school,2,3,3,3
140,02M565,Urban Academy Laboratory High School,high school,2,3,3,3
141,02M570,Satellite Academy High School,high school,2,3,3,3
142,02M575,Manhattan Comprehensive Night and Day High School,high school,2,3,3,3
143,02M580,Richard R. Green High School of Teaching,high school,2,3,3,13
144,02M586,Harvey Milk High School,high school,2,3,3,7
145,02M600,The High School of Fashion Industries,high school,2,3,3,3
146,02M605,Humanities Preparatory Academy,high school,2,3,3,3
147,02M615,Chelsea Career and Technical Education High School,high school,2,3,3,3
148,02M625,High School of Graphic Communication Arts,high school,2,3,3,3
149,02M630,Art and Design High School,high school,2,3,3,7
150,02M655,Life Sciences Secondary School,secondary school,2,11,23,34
151,02M893,Jacob Riis School,junior high-intermediate-middle,2,3,3,3
152,02M896,Lower Manhattan Community Middle School,junior high-intermediate-middle,2,3,3,3
153,02M902,Washington Irving Evng Hs T/R @NTHS,ungraded,2,3,3,3
154,02M933,City Knoll Middle School,junior high-intermediate-middle,2,3,3,3
155,02M972,Office of Academic Policy,high school,2,3,3,3
156,03M009,P.S. 009 Sarah Anderson,elementary,3,3,3,3
157,03M054,J.H.S. 054 Booker T. Washington,junior high-intermediate-middle,3,3,3,14
158,03M075,P.S. 075 Emily Dickinson,elementary,3,3,3,3
159,03M076,P.S. 076 A. Philip Randolph,k-8,3,3,3,16
160,03M084,P.S. 084 Lillian Weber,elementary,3,3,3,8
161,03M087,P.S. 087 William Sherman,elementary,3,3,3,3
162,03M145,"P.S. 145, The Bloomingdale School",elementary,3,3,3,3
163,03M149,P.S. 149 Sojourner Truth,k-8,3,3,3,6
164,03M163,P.S. 163 Alfred E. Smith,elementary,3,3,3,3
165,03M165,P.S. 165 Robert E. Simon,k-8,3,3,3,14
166,03M166,P.S. 166 The Richard Rodgers School of The Arts an,elementary,3,3,3,3
167,03M180,P.S. 180 Hugo Newman,k-8,3,3,3,8
168,03M185,P.S. 185 - The Early Childhood Discovery and Desig,early childhood,3,3,3,3
169,03M191,P.S. 191 Amsterdam,k-8,3,3,3,6
170,03M199,P.S. 199 Jessie Isador Straus,elementary,3,3,3,3
171,03M208,P.S. 208 Alain L. Locke,elementary,3,3,3,3
172,03M241,STEM Institute of Manhattan,elementary,3,3,3,3
173,03M242,P.S. 242 - The Young Diplomats Magnet Academy,elementary,3,3,3,3
174,03M243,M.S. 243 Center School,junior high-intermediate-middle,3,3,3,3
175,03M245,M.S. M245 The Computer School,junior high-intermediate-middle,3,3,3,3
176,03M247,M.S. M247 Dual Language Middle School,junior high-intermediate-middle,3,6,9,15
177,03M250,M.S. 250 West Side Collaborative Middle School,junior high-intermediate-middle,3,3,3,3
178,03M256,M.S. 256 Academic & Athletic Excellence,junior high-intermediate-middle,3,9,11,20
179,03M258,Community Action School - MS 258,junior high-intermediate-middle,3,3,3,10
180,03M291,West End Secondary School,secondary school,3,3,3,3
181,03M299,"High School for Arts, Imagination and Inquiry",high school,3,7,7,14
182,03M307,"Urban Assembly School for Media Studies, The",high school,3,7,15,22
183,03M333,P.S. 333 Manhattan School for Children,k-8,3,3,3,3
184,03M334,The Anderson School,k-8,3,3,3,3
185,03M402,The Urban Assembly School for Green Careers,high school,3,13,28,41
186,03M403,The Global Learning Collaborative,high school,3,3,3,3
187,03M404,Innovation Diploma Plus,high school,3,3,3,6
188,03M415,Wadleigh Secondary School for the Performing & Vis,secondary school,3,3,3,6
189,03M417,Frank Mccourt High School,high school,3,3,3,3
190,03M421,West Prep Academy,junior high-intermediate-middle,3,7,8,15
191,03M444,Home Schooling,central-hq-citywide,3,3,3,3
192,03M452,P.S. 452,elementary,3,3,3,3
193,03M479,Beacon High School,high school,3,3,3,3
194,03M485,Fiorello H. LaGuardia High School of Music & Art a,high school,3,3,3,3
195,03M492,"High School for Law, Advocacy and Community Justic",high school,3,3,3,3
196,03M494,High School of Arts and Technology,high school,3,10,21,31
197,03M505,Edward A. Reynolds West Side High School,high school,3,3,3,3
198,03M541,Manhattan / Hunter Science High School,high school,3,3,3,3
199,03M859,Special Music School,k-12 all grades,3,3,3,3
200,03M860,Frederick Douglass Academy II Secondary School,secondary school,3,15,29,44
201,03M862,Mott Hall II,junior high-intermediate-middle,3,3,3,3
202,04M007,P.S. 007 Samuel Stern,k-8,4,3,3,3
203,04M012,Tag Young Scholars,k-8,4,3,3,3
204,04M037,River East Elementary,elementary,4,3,3,6
205,04M038,P.S. 38 Roberto Clemente,elementary,4,3,3,9
206,04M050,P.S. 050 Vito Marcantonio,k-8,4,3,3,6
207,04M057,James Weldon Johnson,k-8,4,3,3,3
208,04M072,The Lexington Academy,k-8,4,3,3,3
209,04M083,P.S. 083 Luis Munoz Rivera,elementary,4,3,3,3
210,04M096,P.S. 096 Joseph Lanzetta,k-8,4,3,3,19
211,04M102,P.S. 102 Jacques Cartier,elementary,4,3,3,3
212,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,k-8,4,3,3,14
213,04M112,P.S. 112 Jose Celso Barbosa,early childhood,4,3,3,3
214,04M146,P.S. 146 Ann M. Short,elementary,4,3,3,6
215,04M155,P.S. 155 William Paca,elementary,4,3,3,3
216,04M171,P.S. 171 Patrick Henry,k-8,4,3,3,8
217,04M182,The Bilingual Bicultural School,elementary,4,3,3,3
218,04M206,P.S. 206 Jose Celso Barbosa,k-8,4,3,3,9
219,04M224,M.S. 224 Manhattan East School for Arts & Academic,junior high-intermediate-middle,4,3,3,8
220,04M372,Esperanza Preparatory Academy,secondary school,4,3,3,3
221,04M375,Mosaic Preparatory Academy,elementary,4,3,3,3
222,04M377,Renaissance School of the Arts,junior high-intermediate-middle,4,6,7,13
223,04M381,Global Neighborhood Secondary School,junior high-intermediate-middle,4,3,3,6
224,04M406,Global Technology Preparatory,junior high-intermediate-middle,4,3,3,3
225,04M409,Coalition School for Social Change,high school,4,8,8,16
226,04M435,Manhattan Center for Science and Mathematics,high school,4,3,3,3
227,04M444,Home Schooling,central-hq-citywide,4,3,3,3
228,04M495,Park East High School,high school,4,3,3,3
229,04M497,Central Park East I,elementary,4,3,3,3
230,04M555,Central Park East High School,high school,4,3,3,3
231,04M610,Young Women's Leadership School,secondary school,4,3,3,3
232,04M680,"Heritage School, The",high school,4,14,13,27
233,04M825,Isaac Newton Middle School for Math & Science,junior high-intermediate-middle,4,3,3,22
234,04M964,Central Park East II,k-8,4,3,3,3
235,05M030,P.S. 030 Hernandez/Hughes,elementary,5,3,3,3
236,05M036,P.S. 036 Margaret Douglas,elementary,5,3,3,3
237,05M046,P.S. 046 Arthur Tappan,k-8,5,3,3,13
238,05M092,P.S. 092 Mary McLeod Bethune,elementary,5,3,3,3
239,05M123,P.S. 123 Mahalia Jackson,k-8,5,3,3,3
240,05M125,P.S. 125 Ralph Bunche,elementary,5,3,3,3
241,05M129,P.S. 129 John H. Finley,k-8,5,3,3,3
242,05M133,P.S. 133 Fred R Moore,elementary,5,3,3,3
243,05M148,Eagle Academy for Young Men of Harlem,secondary school,5,3,3,3
244,05M154,P.S. 154 Harriet Tubman,elementary,5,3,3,3
245,05M157,The Urban Assembly School for Global Commerce,high school,5,3,3,17
246,05M161,P.S. 161 Pedro Albizu Campos,k-8,5,3,3,3
247,05M175,P.S. 175 Henry H Garnet,elementary,5,3,3,3
248,05M194,P.S. 194 Countee Cullen,elementary,5,3,3,9
249,05M197,P.S. 197 John B. Russwurm,elementary,5,3,3,3
250,05M200,P.S. 200- The James Mccune Smith School,elementary,5,3,3,3
251,05M285,Harlem Renaissance High School,high school,5,3,3,3
252,05M286,I.S. M286 Renaissance Leadership Academy,junior high-intermediate-middle,5,3,3,3
253,05M302,KAPPA IV,junior high-intermediate-middle,5,3,3,3
254,05M304,Mott Hall High School,high school,5,3,3,3
255,05M318,Thurgood Marshall Academy Lower School,elementary,5,3,3,3
256,05M362,Columbia Secondary School,secondary school,5,3,3,3
257,05M367,Academy for Social Action,high school,5,3,3,3
258,05M369,Urban Assembly School for the Performing Arts,high school,5,3,3,8
259,05M410,The Urban Assembly Institute for New Technologies,junior high-intermediate-middle,5,3,3,3
260,05M444,Home Schooling,central-hq-citywide,5,3,3,3
261,05M469,Choir Academy of Harlem,secondary school,5,3,3,3
262,05M499,Frederick Douglass Academy,secondary school,5,3,3,3
263,05M514,New Design Middle School,junior high-intermediate-middle,5,3,3,3
264,05M517,Teachers College Community School,elementary,5,3,3,3
265,05M670,Thurgood Marshall Academy for Learning and Social,secondary school,5,3,3,11
266,05M685,Bread & Roses Integrated Arts High School,high school,5,3,3,3
267,05M692,"High School for Mathematics, Science and Engineeri",high school,5,3,3,3
268,06M004,P.S. 004 Duke Ellington,elementary,6,3,3,3
269,06M005,P.S. 005 Ellen Lurie,elementary,6,3,3,3
270,06M008,P.S. 008 Luis Belliard,elementary,6,3,3,7
271,06M018,P.S. 018 Park Terrace,k-8,6,3,3,3
272,06M028,P.S. 028 Wright Brothers,elementary,6,3,3,3
273,06M048,P.S. 048 P.O. Michael J. Buczek,elementary,6,3,3,6
274,06M052,J.H.S. 052 Inwood,junior high-intermediate-middle,6,3,3,3
275,06M098,P.S. 098 Shorac Kappock,elementary,6,3,3,7
276,06M103,Dos Puentes Elementary School,elementary,6,3,3,3
277,06M115,P.S. 115 Alexander Humboldt,elementary,6,3,3,3
278,06M128,P.S. 128 Audubon,elementary,6,3,3,10
279,06M132,P.S. 132 Juan Pablo Duarte,elementary,6,3,3,3
280,06M143,J.H.S. 143 Eleanor Roosevelt,junior high-intermediate-middle,6,3,3,13
281,06M152,P.S. 152 Dyckman Valley,elementary,6,3,3,3
282,06M153,P.S. 153 Adam Clayton Powell,elementary,6,3,3,3
283,06M173,P.S. 173,elementary,6,3,3,3
284,06M178,Professor Juan Bosch Public School,elementary,6,3,3,3
285,06M187,P.S./I.S. 187 Hudson Cliffs,k-8,6,3,3,3
286,06M189,P.S. 189,elementary,6,3,3,3
287,06M192,P.S. 192 Jacob H. Schiff,elementary,6,3,3,3
288,06M209,Hamilton Grange Middle School,junior high-intermediate-middle,6,3,3,3
289,06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,k-8,6,3,3,3
290,06M211,Inwood Early College for Health and Information Te,high school,6,3,3,3
291,06M218,I.S. 218 Salome Urena,junior high-intermediate-middle,6,3,3,3
292,06M223,The Mott Hall School,junior high-intermediate-middle,6,3,3,3
293,06M278,Paula Hedbavny School,k-8,6,3,3,3
294,06M293,City College Academy of the Arts,secondary school,6,3,3,3
295,06M311,Amistad Dual Language School,k-8,6,3,3,3
296,06M314,Muscota,elementary,6,3,3,3
297,06M319,M.S. 319 - Maria Teresa,junior high-intermediate-middle,6,3,3,6
298,06M322,Middle School 322,junior high-intermediate-middle,6,3,3,7
299,06M324,M.S. 324 - Patria Mirabal,junior high-intermediate-middle,6,3,3,9
300,06M325,P.S. 325,elementary,6,3,3,3
301,06M326,M.S. 326 - Writers Today & Leaders Tomorrow,junior high-intermediate-middle,6,3,3,3
302,06M328,M.S. 328 - Manhattan Middle School for Scientific,junior high-intermediate-middle,6,3,3,3
303,06M346,Community Health Academy of the Heights,secondary school,6,6,15,21
304,06M348,Washington Heights Expeditionary Learning School,k-12 all grades,6,3,3,8
305,06M349,Harbor Heights,junior high-intermediate-middle,6,3,3,3
306,06M366,Washington Heights Academy,k-8,6,3,3,3
307,06M368,Hamilton Heights School,elementary,6,3,3,3
308,06M423,High School for Excellence and Innovation,high school,6,3,3,3
309,06M444,Home Schooling,central-hq-citywide,6,3,3,3
310,06M457,George Washington Yabc,high school,6,3,3,3
311,06M462,The College Academy,high school,6,3,3,3
312,06M463,High School for Media and Communications,high school,6,3,3,3
313,06M467,High School for Law and Public Service,high school,6,3,3,9
314,06M468,High School for Health Careers and Sciences,high school,6,3,3,3
315,06M513,Castle Bridge School,elementary,6,3,3,3
316,06M528,I.S. 528 Bea Fuller Rodgers School,junior high-intermediate-middle,6,3,3,3
317,06M540,A. Philip Randolph Campus High School,high school,6,3,3,15
318,06M552,Gregorio Luperon High School for Science and Mathe,high school,6,3,3,3
319,07X001,P.S. 001 Courtlandt School,elementary,7,3,3,3
320,07X005,P.S. 5 Port Morris,k-8,7,3,3,3
321,07X018,P.S. 018 John Peter Zenger,elementary,7,3,3,3
322,07X025,P.S. 025 Bilingual School,elementary,7,3,3,3
323,07X029,P.S./M.S. 029 Melrose School,k-8,7,6,13,19
324,07X030,P.S. 030 Wilton,elementary,7,3,3,3
325,07X031,P.S./M.S. 031 The William Lloyd Garrison,k-8,7,3,3,3
326,07X043,P.S. 043 Jonas Bronck,elementary,7,3,3,3
327,07X049,P.S. 049 Willis Avenue,elementary,7,3,3,6
328,07X065,P.S. 065 Mother Hale Academy,elementary,7,3,3,3
329,07X151,J.H.S. 151 Lou Gehrig,junior high-intermediate-middle,7,3,3,3
330,07X154,P.S. 154 Jonathan D. Hyatt,elementary,7,3,3,3
331,07X157,P.S. 157 Grove Hill,elementary,7,3,3,3
332,07X161,P.S. 161 Juan Ponce De Leon School,elementary,7,3,3,3
333,07X162,J.H.S. 162 Lola Rodriguez De Tio,junior high-intermediate-middle,7,3,3,3
334,07X179,P.S. 179,elementary,7,3,3,3
335,07X221,South Bronx Preparatory: A College Board School,secondary school,7,3,3,3
336,07X223,M.S. 223 The Laboratory School of Finance and Tech,secondary school,7,3,3,3
337,07X224,P.S./I.S. 224,junior high-intermediate-middle,7,3,3,6
338,07X259,"H.E.R.O. High (Health, Education, and Research Occ",high school,7,3,3,16
339,07X277,P.S. 277,elementary,7,3,3,6
340,07X296,South Bronx Academy for Applied Media,junior high-intermediate-middle,7,3,3,20
341,07X298,Academy of Public Relations,junior high-intermediate-middle,7,11,9,20
342,07X321,Crotona Academy High School,high school,7,3,3,3
343,07X334,International Community High School,high school,7,3,3,3
344,07X343,Academy of Applied Mathematics and Technology,junior high-intermediate-middle,7,3,3,10
345,07X359,Concourse Village Elementary School,elementary,7,3,3,3
346,07X369,Young Leaders Elementary School,elementary,7,3,3,7
347,07X379,Jill Chaifetz Transfer High School,high school,7,3,3,3
348,07X381,Bronx Haven High School,high school,7,3,3,3
349,07X385,Performance School,elementary,7,3,3,3
350,07X427,Community School for Social Justice,high school,7,3,3,6
351,07X444,Home Schooling,central-hq-citywide,7,3,3,3
352,07X456,Alfred E. Smith Campus YABC,high school,7,3,3,3
353,07X473,Mott Haven Village Preparatory High School,high school,7,3,3,21
354,07X495,University Heights Secondary School,high school,7,3,3,3
355,07X500,Hostos-Lincoln Academy of Science,secondary school,7,3,3,3
356,07X520,Foreign Language Academy of Global Studies,high school,7,3,3,9
357,07X522,Bronx Design and Construction Academy,high school,7,3,3,7
358,07X527,Bronx Leadership Academy II High School,high school,7,3,3,10
359,07X533,Learning through Play Pre-K Center,district pre-k center,7,3,3,3
360,07X547,New Explorers High School,high school,7,3,3,12
361,07X548,Urban Assembly School for Careers in Sports,high school,7,3,3,3
362,07X551,The Urban Assembly Bronx Academy of Letters,secondary school,7,13,12,25
363,07X557,Mott Haven Community High School,high school,7,3,3,3
364,07X600,Alfred E. Smith Career and Technical Education Hig,high school,7,3,3,16
365,07X670,Health Opportunities High School,high school,7,3,3,13
366,08X014,P.S. X014 Senator John Calandra,elementary,8,3,3,3
367,08X036,P.S. 036 Unionport,elementary,8,3,3,3
368,08X048,P.S. 048 Joseph R. Drake,elementary,8,3,3,3
369,08X062,P.S. 062 Inocensio Casanova,elementary,8,3,3,3
370,08X069,P.S. 069 Journey Prep School,elementary,8,3,3,3
371,08X071,P.S. 071 Rose E. Scala,k-8,8,3,3,7
372,08X072,P.S. 072 Dr. William Dorney,elementary,8,3,3,6
