CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
932184137,01/01/2016,00:00:00,11/30/2019,22:00:00,34,12/14/2019,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1002106,249501,45-64,WHITE HISPANIC,M,,40.85148777400008,-73.93545796699993,"(40.85148777400008, -73.93545796699993)",PATROL BORO MAN NORTH,,<18,BLACK HISPANIC,F
524734897,01/01/2016,00:20:00,05/16/2017,16:00:00,67,11/18/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,997858,174604,,,,,40.64592203900003,-73.95096460799994,"(40.64592203900003, -73.95096460799994)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,F
425311840,01/01/2016,00:00:00,11/13/2019,06:00:00,120,11/13/2019,126,MISCELLANEOUS PENAL LAW,697,USE OF A CHILD IN A SEXUAL PER,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,962748,174174,25-44,WHITE HISPANIC,M,,40.64472613100002,-74.07748315899995,"(40.64472613100002, -74.07748315899995)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E
211927249,01/01/2016,19:00:00,12/31/2016,19:00:00,46,11/18/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1011881,250411,,,,,40.85396027400003,-73.90012087499997,"(40.85396027400003, -73.90012087499997)",PATROL BORO BRONX,,<18,BLACK HISPANIC,F
934187944,01/01/2016,12:00:00,11/01/2018,12:00:00,112,10/30/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,1025420,202485,UNKNOWN,UNKNOWN,U,,40.72236368700004,-73.85147389399998,"(40.72236368700004, -73.85147389399998)",PATROL BORO QUEENS NORTH,,<18,WHITE HISPANIC,F
460848097,01/01/2016,07:00:00,12/31/2016,23:00:00,41,10/30/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1013232,236725,,,,,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)",PATROL BORO BRONX,,<18,UNKNOWN,F
506003829,01/01/2016,21:00:00,01/02/2019,08:00:00,9,10/17/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,987624,203977,25-44,ASIAN / PACIFIC ISLANDER,M,,40.72655401900005,-73.98782842699995,"(40.72655401900005, -73.98782842699995)",PATROL BORO MAN SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,F
573058003,01/01/2016,22:00:00,,,44,10/10/2019,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1006434,244344,,,,,40.83732351100008,-73.91983075699994,"(40.83732351100008, -73.91983075699994)",PATROL BORO BRONX,,<18,WHITE HISPANIC,F
740850987,01/01/2016,08:00:00,01/01/2016,09:00:00,79,09/28/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,TOMPKINS,521.0,999634,190253,<18,BLACK,M,,40.688872153000034,-73.94452903199993,"(40.688872153000034, -73.94452903199993)",PATROL BORO BKLYN NORTH,,<18,UNKNOWN,F
274027127,01/01/2016,08:00:00,12/31/2016,23:00:00,44,09/11/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1006434,244344,UNKNOWN,UNKNOWN,M,,40.83732351100008,-73.91983075699994,"(40.83732351100008, -73.91983075699994)",PATROL BORO BRONX,,<18,UNKNOWN,M
614924322,01/01/2016,00:01:00,,,14,09/11/2019,109,GRAND LARCENY,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,BANK,N.Y. POLICE DEPT,0,,,,990247,212954,,,,,40.75119227300007,-73.97835693099995,"(40.75119227300007, -73.97835693099995)",PATROL BORO MAN SOUTH,,UNKNOWN,UNKNOWN,F
288594424,01/01/2016,00:01:00,09/17/2019,00:01:00,41,09/17/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1015095,236812,,,,,40.81662432900004,-73.88856544799995,"(40.81662432900004, -73.88856544799995)",PATROL BORO BRONX,,18-24,BLACK,F
945360181,01/01/2016,00:00:00,06/01/2017,00:00:00,46,08/19/2019,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1011881,250411,UNKNOWN,BLACK HISPANIC,M,,40.85396027400003,-73.90012087499997,"(40.85396027400003, -73.90012087499997)",PATROL BORO BRONX,,<18,UNKNOWN,F
598471170,01/01/2016,00:01:00,01/01/2018,00:01:00,60,08/06/2019,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,CONEY ISLAND,238.0,990922,149184,25-44,BLACK,M,,40.576157300000034,-73.97598379999994,"(40.576157300000034, -73.97598379999994)",PATROL BORO BKLYN SOUTH,,<18,BLACK,F
369123901,01/01/2016,00:00:00,01/31/2018,23:59:00,77,07/12/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1003606,185050,45-64,WHITE HISPANIC,M,,40.67458330800008,-73.93022154099998,"(40.67458330800008, -73.93022154099998)",PATROL BORO BKLYN NORTH,,<18,WHITE HISPANIC,F
108262511,01/01/2016,00:01:00,01/01/2016,00:01:00,115,06/26/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,1016802,216412,,,,,40.76062571600005,-73.88249731099995,"(40.76062571600005, -73.88249731099995)",PATROL BORO QUEENS NORTH,,45-64,ASIAN / PACIFIC ISLANDER,F
692408082,01/01/2016,00:00:00,,,40,06/20/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1004926,234532,,,,,40.81039601900005,-73.92531074499993,"(40.81039601900005, -73.92531074499993)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,F
392322218,01/01/2016,00:00:00,01/30/2016,23:00:00,71,05/28/2019,104,RAPE,153,RAPE 3,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,998749,181383,25-44,UNKNOWN,M,,40.66452749800004,-73.94773929099993,"(40.66452749800004, -73.94773929099993)",PATROL BORO BKLYN SOUTH,,25-44,WHITE,F
834727701,01/01/2016,00:01:00,03/28/2019,22:00:00,109,05/21/2019,104,RAPE,153,RAPE 3,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,1032198,217060,45-64,ASIAN / PACIFIC ISLANDER,M,,40.76233421800004,-73.82691730799998,"(40.76233421800004, -73.82691730799998)",PATROL BORO QUEENS NORTH,,45-64,ASIAN / PACIFIC ISLANDER,F
405538879,01/01/2016,17:00:00,04/05/2019,04:36:00,18,05/15/2019,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,988408,219412,UNKNOWN,WHITE,M,,40.76891888700004,-73.98499030199997,"(40.76891888700004, -73.98499030199997)",PATROL BORO MAN SOUTH,,45-64,WHITE,M
285723050,01/01/2016,00:01:00,05/06/2019,17:29:00,52,05/06/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1014260,256172,UNKNOWN,UNKNOWN,U,,40.86976470700006,-73.891495476,"(40.86976470700006, -73.891495476)",PATROL BORO BRONX,,18-24,WHITE HISPANIC,F
452335202,01/01/2016,00:01:00,12/05/2018,14:00:00,115,05/05/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1020439,212857,UNKNOWN,UNKNOWN,U,,40.75085401600006,-73.86938784999995,"(40.75085401600006, -73.86938784999995)",PATROL BORO QUEENS NORTH,,25-44,BLACK,M
983297347,01/01/2016,08:00:00,12/31/2017,08:00:00,23,04/28/2019,116,SEX CRIMES,177,SEXUAL ABUSE,ATTEMPTED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,632.0,998730,226827,,,,,40.78926022400003,-73.94771000099996,"(40.78926022400003, -73.94771000099996)",PATROL BORO MAN NORTH,,<18,BLACK,F
784510501,01/01/2016,00:01:00,,,67,04/23/2019,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,997223,172511,,,,,40.64017815600005,-73.95325687299999,"(40.64017815600005, -73.95325687299999)",PATROL BORO BKLYN SOUTH,,25-44,WHITE HISPANIC,M
524118563,01/01/2016,00:00:00,12/31/2016,23:59:00,52,04/12/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1014548,255423,,,,,40.86770794800003,-73.89045755299998,"(40.86770794800003, -73.89045755299998)",PATROL BORO BRONX,,65+,WHITE HISPANIC,F
879704268,01/01/2016,12:00:00,01/01/2016,23:00:00,40,04/11/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,JACKSON,794.0,1004926,234532,,,,,40.81039601900005,-73.92531074499993,"(40.81039601900005, -73.92531074499993)",PATROL BORO BRONX,,<18,WHITE HISPANIC,M
529877244,01/01/2016,00:01:00,12/31/2017,23:59:00,45,04/03/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1026319,244803,,,,,40.838510995000036,-73.84796564199996,"(40.838510995000036, -73.84796564199996)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,M
933260415,01/01/2016,00:01:00,04/01/2019,23:59:00,105,04/02/2019,125,NYS LAWS-UNCLASSIFIED FELONY,847,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1054851,181458,45-64,BLACK,M,,40.66446374800007,-73.74551756599999,"(40.66446374800007, -73.74551756599999)",PATROL BORO QUEENS SOUTH,,UNKNOWN,UNKNOWN,E
847693994,01/01/2016,08:00:00,01/01/2017,08:00:00,120,04/05/2019,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,WEST BRIGHTON I,10160.0,962748,174174,,,,,40.64472613100002,-74.07748315899995,"(40.64472613100002, -74.07748315899995)",PATROL BORO STATEN ISLAND,,<18,BLACK HISPANIC,F
334564535,01/01/2016,12:00:00,02/13/2019,12:00:00,49,03/14/2019,116,SEX CRIMES,166,SODOMY 2,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1027295,251236,65+,WHITE HISPANIC,M,,40.85616295700004,-73.84439712399995,"(40.85616295700004, -73.84439712399995)",PATROL BORO BRONX,,<18,BLACK HISPANIC,M
235290134,01/01/2016,12:00:00,03/01/2016,12:00:00,6,03/11/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,PHOTO/COPY,N.Y. POLICE DEPT,0,,,,981983,208095,45-64,WHITE,M,,40.73785727300003,-74.00818192199995,"(40.73785727300003, -74.00818192199995)",PATROL BORO MAN SOUTH,,25-44,WHITE,F
716554923,01/01/2016,00:01:00,12/21/2018,23:59:00,75,03/20/2019,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1016807,179007,UNKNOWN,UNKNOWN,U,,40.657957922000044,-73.88266012399998,"(40.657957922000044, -73.88266012399998)",PATROL BORO BKLYN NORTH,,45-64,WHITE HISPANIC,M
109441371,01/01/2016,00:01:00,12/31/2018,23:59:00,70,02/20/2019,116,SEX CRIMES,168,SODOMY 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,991547,168934,,,,,40.63036654500007,-73.97371261299998,"(40.63036654500007, -73.97371261299998)",PATROL BORO BKLYN SOUTH,,<18,UNKNOWN,F
351403956,01/01/2016,00:01:00,01/31/2016,23:59:00,77,02/15/2019,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,993951,184198,,,,,40.67226060300004,-73.96502979699994,"(40.67226060300004, -73.96502979699994)",PATROL BORO BKLYN NORTH,,25-44,BLACK,F
193625314,01/01/2016,00:00:00,,,40,01/26/2019,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,833.0,1004926,234532,UNKNOWN,UNKNOWN,M,,40.81039601900005,-73.92531074499993,"(40.81039601900005, -73.92531074499993)",PATROL BORO BRONX,,<18,UNKNOWN,F
661074575,01/01/2016,00:01:00,,,41,01/18/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1013232,236725,45-64,BLACK HISPANIC,M,,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)",PATROL BORO BRONX,,<18,BLACK HISPANIC,F
521856868,01/01/2016,00:01:00,12/31/2016,23:59:00,111,01/05/2019,116,SEX CRIMES,164,SODOMY 3,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1048565,216315,25-44,WHITE,M,,40.76018547900002,-73.76784258499998,"(40.76018547900002, -73.76784258499998)",PATROL BORO QUEENS NORTH,,<18,WHITE,M
403250906,01/01/2016,00:01:00,12/31/2017,23:59:00,26,01/02/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,GRANT,720.0,996241,236149,<18,BLACK HISPANIC,F,,40.81485028900005,-73.95668184799997,"(40.81485028900005, -73.95668184799997)",PATROL BORO MAN NORTH,,<18,BLACK,F
123097152,01/01/2016,03:00:00,01/01/2016,23:59:00,110,02/17/2017,104,RAPE,157,RAPE 1,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1020255,210816,25-44,WHITE HISPANIC,M,,40.745252741,-73.87006287,"(40.745252741, -73.87006287)",PATROL BORO QUEENS NORTH,,25-44,ASIAN / PACIFIC ISLANDER,F
938775913,01/01/2016,17:15:00,,,20,01/01/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,,,NA,989208,221350,<18,ASIAN / PACIFIC ISLANDER,M,,40.774237779,-73.982100724,"(40.774237779, -73.982100724)",PATROL BORO MAN NORTH,,UNKNOWN,UNKNOWN,D
730597588,01/01/2016,18:00:00,01/01/2016,19:00:00,110,01/30/2016,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1024535,209890,,,,,40.742692644,-73.854622335,"(40.742692644, -73.854622335)",PATROL BORO QUEENS NORTH,,25-44,WHITE HISPANIC,F
557244035,01/01/2016,22:05:00,01/01/2016,22:10:00,71,01/01/2016,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,NA,996569,183098,25-44,BLACK,M,,40.669238093,-73.955594042,"(40.669238093, -73.955594042)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,E
230338606,01/01/2016,08:00:00,04/05/2016,05:50:00,61,04/05/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,,OTHER,N.Y. POLICE DEPT,0,,,NA,997338,152484,UNKNOWN,UNKNOWN,U,,40.585207999,-73.952881317,"(40.585207999, -73.952881317)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,E
326216810,01/01/2016,11:44:00,01/01/2016,11:50:00,41,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1012346,236787,45-64,BLACK,M,,40.816564881,-73.898497059,"(40.816564881, -73.898497059)",PATROL BORO BRONX,,45-64,BLACK,M
258409845,01/01/2016,02:24:00,01/01/2016,02:30:00,122,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,953949,150998,,,,,40.581087094,-74.109086022,"(40.581087094, -74.109086022)",PATROL BORO STATEN ISLAND,,18-24,WHITE,M
243141366,01/01/2016,14:30:00,01/01/2016,14:35:00,44,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,NA,1008669,246692,25-44,WHITE HISPANIC,M,,40.843762188,-73.911745153,"(40.843762188, -73.911745153)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,F
180246594,01/01/2016,02:30:00,01/01/2016,07:20:00,104,01/01/2016,341,PETIT LARCENY,335,"LARCENY,PETIT FROM TRUCK",COMPLETED,MISDEMEANOR,QUEENS,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,NA,1019981,195692,UNKNOWN,UNKNOWN,U,,40.703742179,-73.871132004,"(40.703742179, -73.871132004)",PATROL BORO QUEENS NORTH,,25-44,WHITE,M
753277425,01/01/2016,09:00:00,09/29/2016,17:30:00,44,09/29/2016,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,BRONX,INSIDE,PUBLIC BUILDING,N.Y. POLICE DEPT,0,,,NA,1006145,241067,25-44,WHITE HISPANIC,M,,40.828329812,-73.920885868,"(40.828329812, -73.920885868)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,D
766815440,01/01/2016,13:30:00,01/01/2016,13:30:00,44,01/01/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,,,NA,1006537,244511,45-64,BLACK,M,,40.837781618,-73.919457971,"(40.837781618, -73.919457971)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,D
511014453,01/01/2016,21:55:00,01/01/2016,21:55:00,67,01/01/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,NA,1004425,176202,UNKNOWN,BLACK,M,,40.650295678,-73.927295457,"(40.650295678, -73.927295457)",PATROL BORO BKLYN SOUTH,,<18,BLACK,F
369277677,01/01/2016,22:28:00,01/01/2016,22:30:00,73,01/02/2016,348,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1010017,180192,,,,,40.661232846,-73.907127965,"(40.661232846, -73.907127965)",PATROL BORO BKLYN NORTH,,25-44,BLACK,F
932337415,01/01/2016,22:00:00,,,18,01/02/2016,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,,NA,991474,215727,,,,,40.758802537,-73.973925435,"(40.758802537, -73.973925435)",PATROL BORO MAN SOUTH,,45-64,WHITE,M
104607409,01/01/2016,17:14:00,,,46,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1007610,250032,45-64,BLACK,M,,40.852932365,-73.915561003,"(40.852932365, -73.915561003)",PATROL BORO BRONX,,45-64,BLACK,F
629760422,01/01/2016,02:30:00,01/01/2016,04:30:00,102,01/01/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1033332,194066,UNKNOWN,UNKNOWN,U,,40.699215216,-73.822991497,"(40.699215216, -73.822991497)",PATROL BORO QUEENS SOUTH,,25-44,BLACK,M
339731982,01/01/2016,08:00:00,01/01/2016,08:02:00,9,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,,NA,988155,205607,25-44,WHITE,M,,40.731027754,-73.985911692,"(40.731027754, -73.985911692)",PATROL BORO MAN SOUTH,,25-44,BLACK,M
640732349,01/01/2016,04:00:00,01/01/2016,04:30:00,120,01/01/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,961223,170637,UNKNOWN,WHITE HISPANIC,M,,40.635013991,-74.082966369,"(40.635013991, -74.082966369)",PATROL BORO STATEN ISLAND,,45-64,WHITE,M
995150024,01/01/2016,01:00:00,01/01/2016,10:30:00,63,01/01/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,NA,1002189,165609,UNKNOWN,UNKNOWN,U,,40.621224961,-73.935381635,"(40.621224961, -73.935381635)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,M
593682279,01/01/2016,08:00:00,10/06/2016,13:00:00,61,10/06/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,DRY CLEANER/LAUNDRY,N.Y. POLICE DEPT,0,,,NA,1002398,158602,,,,,40.601991765,-73.934647606,"(40.601991765, -73.934647606)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,D
126282231,01/01/2016,05:30:00,01/01/2016,06:08:00,81,01/01/2016,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,NA,1004646,191400,25-44,WHITE HISPANIC,M,,40.692010273,-73.926453042,"(40.692010273, -73.926453042)",PATROL BORO BKLYN NORTH,,UNKNOWN,UNKNOWN,E
356446897,01/01/2016,19:20:00,01/02/2016,19:20:00,102,01/02/2016,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,QUEENS,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,NA,1030953,194101,UNKNOWN,UNKNOWN,U,20,40.699324157,-73.831570888,"(40.699324157, -73.831570888)",PATROL BORO QUEENS SOUTH,JAMAICA-VAN WYCK,UNKNOWN,UNKNOWN,D
500708590,01/01/2016,00:01:00,05/01/2017,23:59:00,122,05/22/2017,109,GRAND LARCENY,426,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,NA,952774,144073,,,,,40.56207524,-74.113283814,"(40.56207524, -74.113283814)",PATROL BORO STATEN ISLAND,,65+,UNKNOWN,F
632094658,01/01/2016,00:01:00,05/27/2016,12:15:00,108,05/31/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1010938,207999,,,,,40.737553805,-73.903698171,"(40.737553805, -73.903698171)",PATROL BORO QUEENS NORTH,,UNKNOWN,UNKNOWN,E
